column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,0.0299726,0.169399,1.0037,0.0304641,0.843663
feVelocity_m_s_Y,-0.0239471,0.161057,0.964726,-0.0178126,0.772457
feVelocity_m_s_Z,-0.00441084,0.0972166,0.588688,-1980.06,586804
altitudeMsl_m,0.075976,0.0849437,0.195053,0.00248926,0.00639411
longitude_rad,-4.23147e-07,2.89282e-07,9.59313e-07,-3.20504e-05,7.2675e-05
latitude_rad,1.00751e-06,5.27884e-07,1.87215e-06,0.000160174,0.000297558
localGravity_m_s2,-7.23658e-05,9.56206e-06,8.76424e-05,-0.000737587,0.000893292
eulerAngle_rad_Yaw,-0.00016828,0.00802307,0.0527252,-0.00980057,5.89951
eulerAngle_rad_Pitch,-0.000100972,0.000848955,0.00560789,-0.207632,12.4341
eulerAngle_rad_Roll,0.00241156,0.0276535,0.24804,31.1028,94.2488
bodyAngularRateWrtEi_rad_s_Roll,-2.02369e-05,0.252176,2.71504,116.161,19871.6
bodyAngularRateWrtEi_rad_s_Pitch,-0.000168711,0.0161987,0.116703,1.85905,1617.95
bodyAngularRateWrtEi_rad_s_Yaw,5.50314e-05,0.0297273,0.205536,-27.9908,1851.07
altitudeRateWrtMsl_m_s,0.00441084,0.0972166,0.588688,1974.35,585094
speedOfSound_m_s,5.13273e-06,0.000337525,0.0010363,1.56239e-06,0.000315577
airDensity_kg_m3,-9.75147e-06,7.8889e-06,2.08266e-05,-0.00107822,0.00230244
ambientPressure_Pa,-0.750747,0.752696,1.80615,-0.00107776,0.00259235
ambientTemperature_K,-0.000458614,0.000551592,0.00123188,-0.00017092,0.00045909
aero_bodyForce_N_X,-20.3104,555.407,4932.13,-0.852375,80.5633
aero_bodyForce_N_Y,-189.773,7420.94,60594.4,-278.635,86872.2
aero_bodyForce_N_Z,-117.363,7433.7,52578,-0.918809,156.139
aero_bodyMoment_Nm_L,-374.403,40252.9,415927,2.72881e+07,8.2137e+09
aero_bodyMoment_Nm_M,51.9257,6474.39,60053.8,1.0892,154.769
aero_bodyMoment_Nm_N,563.214,19668.3,196129,-135.439,9188.73
mach,-3.47641e-06,2.42897e-05,0.000185173,-0.000661964,0.0352856
trueAirspeed_m_s,-0.00113853,0.00791893,0.0609845,-0.000660177,0.0353887
