column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,0.0383535,0.0141415,0.0531756,0.0314451,0.043581
feVelocity_m_s_Y,-0.0376284,0.0118274,0.107782,-0.0308188,0.0884893
feVelocity_m_s_Z,-0.00570331,0.076847,0.417014,-125.411,4434.76
altitudeMsl_m,0.101923,0.11295,0.28312,0.00330957,0.00917809
longitude_rad,-2.70038e-07,2.04058e-07,6.24935e-07,-2.04508e-05,4.7333e-05
latitude_rad,7.23605e-07,3.97055e-07,1.41149e-06,0.000115058,0.00022439
localGravity_m_s2,-6.71518e-05,7.08255e-06,7.91318e-05,-0.000684449,0.000806557
eulerAngle_rad_Yaw,-0.000273482,7.59325e-05,0.000356325,-0.0348002,0.045336
eulerAngle_rad_Pitch,-0.000142264,0.00105708,0.0111093,-0.274605,10.5715
eulerAngle_rad_Roll,0.00215134,0.00066393,0.00287105,56.7969,94.2488
bodyAngularRateWrtEi_rad_s_Roll,0.000256332,0.00257312,0.0348575,20.5856,804.064
bodyAngularRateWrtEi_rad_s_Pitch,-3.95911e-05,0.00718408,0.0752894,27.1879,9808.04
bodyAngularRateWrtEi_rad_s_Yaw,-1.06711e-05,9.46623e-05,0.000449913,-64.3026,1851.07
altitudeRateWrtMsl_m_s,0.00570331,0.076847,0.417014,125.411,4434.76
speedOfSound_m_s,-9.79085e-05,0.000448892,0.000909735,-2.98351e-05,0.000277085
airDensity_kg_m3,-1.2181e-05,1.04836e-05,2.90547e-05,-0.00135045,0.00322344
ambientPressure_Pa,-0.977357,0.997707,2.57647,-0.00140789,0.00371412
ambientTemperature_K,-0.000626682,0.000733312,0.00180305,-0.000233715,0.000672505
aero_bodyForce_N_X,-64.4166,298.559,2566.53,-0.829872,69.2347
aero_bodyForce_N_Y,-13.7024,23.9237,233.708,-509.388,86872.2
aero_bodyForce_N_Z,34.5595,1043.8,8735.05,0.0175408,10.6504
aero_bodyMoment_Nm_L,27.4753,691.169,8914.05,4.08642e+07,8.2137e+09
aero_bodyMoment_Nm_M,207.647,2215.72,25522,0.19933,18.7617
aero_bodyMoment_Nm_N,-5.58636,25.1172,121.183,-112.87,2558.95
mach,2.03874e-06,3.85321e-05,0.00032566,0.000385237,0.0621083
trueAirspeed_m_s,0.000617328,0.0126168,0.106999,0.000355621,0.062143
