column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,0.0487759,0.0280011,0.125725,0.0411073,0.107198
feVelocity_m_s_Y,-0.0256101,0.0251833,0.0452609,-0.0216338,0.038572
feVelocity_m_s_Z,-0.00419038,0.0158593,0.0389075,-106.012,461.52
altitudeMsl_m,0.0943208,0.0330037,0.136363,0.00309136,0.00446906
longitude_rad,-2.35094e-07,1.80247e-07,5.63167e-07,-1.78043e-05,4.26542e-05
latitude_rad,7.37661e-07,4.01622e-07,1.41498e-06,0.000117294,0.000224948
localGravity_m_s2,-6.68926e-05,6.77785e-06,7.84523e-05,-0.000681802,0.000799623
eulerAngle_rad_Yaw,-0.000267675,5.84967e-05,0.000301804,-0.0340623,0.0384037
eulerAngle_rad_Pitch,-0.000161682,0.000133779,0.000797162,-0.323586,1.60095
eulerAngle_rad_Roll,0.0020798,0.000557154,0.00241137,57.1375,94.2488
bodyAngularRateWrtEi_rad_s_Roll,0.000252929,0.00253566,0.0348575,67.4732,2546.05
bodyAngularRateWrtEi_rad_s_Pitch,2.93531e-05,0.000429834,0.00540672,-16.0189,430.666
bodyAngularRateWrtEi_rad_s_Yaw,-1.33247e-05,5.10343e-05,0.000426467,-60.5805,1851.07
altitudeRateWrtMsl_m_s,0.00419038,0.0158593,0.0389075,106.012,461.52
speedOfSound_m_s,-6.77677e-05,0.000131154,0.000307487,-2.0637e-05,9.36386e-05
airDensity_kg_m3,-1.14862e-05,3.06792e-06,1.55448e-05,-0.00126991,0.00171863
ambientPressure_Pa,-0.913403,0.292421,1.28591,-0.00131109,0.00184583
ambientTemperature_K,-0.000577752,0.000214315,0.000850771,-0.000215316,0.000317066
aero_bodyForce_N_X,-28.6907,51.5409,751.013,-0.518813,17.8894
aero_bodyForce_N_Y,-14.0202,17.0479,233.708,-527.23,86872.2
aero_bodyForce_N_Z,-36.6815,223.339,2889.68,-0.0380621,2.70598
aero_bodyMoment_Nm_L,25.7119,687.094,8914.05,4.08642e+07,8.2137e+09
aero_bodyMoment_Nm_M,-79.9716,1092.12,15396.3,-0.808113,160.645
aero_bodyMoment_Nm_N,-4.59407,12.8067,111.023,-125.021,2558.95
mach,4.99338e-05,0.000107009,0.000361741,0.0097285,0.0715735
trueAirspeed_m_s,0.0163629,0.0351089,0.118673,0.00970808,0.0715044
